taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,claim_ratio,farmers_total,claim_farmers,sum_insured
Wani,Kayar,19.9082,78.9038,2022,ok,1.0086225951630274,36.037636741245855,-0.1261231052523432,0.508796504496815,0.761698486177628,0.0068998670830913884,0.4355564112750154,-885.3346582414325,0.5636250987286585,1719.0159250504973,70.78730369597194,304.0801332036965,-0.2129336025490432,0.2079646017699115,1130.0,235.0,92526387.43
Wani,Kayar,19.9082,78.9038,2023,ok,-0.7058257759083703,34.32318837017447,-0.10240963087654965,0.5325099788726085,0.8007227322300725,-0.02919130782438661,0.39946523636753667,-925.0608018387941,0.6162759180788923,1197.0584355713202,102.66233334914843,304.98450896149404,0.6914421552480412,0.13822586391164945,2807.0,388.0,280938720.24
Wani,Kayar,19.9082,78.9038,2024,ok,-0.14931443579903098,34.87969971028378,-0.07126361333712677,0.5636559964120315,0.7877654867466448,0.005620310163681467,0.4342768543556049,-919.2443458499652,0.626225102037063,1273.4934756791997,71.97955116952129,304.19771010287803,-0.09535670336784136,0.04084507042253521,2840.0,116.0,284042809.86
Wani,Kayar,19.9082,78.9038,2025,ok,-4.295673694857465,30.73334045122537,-0.03456446699437832,0.6003551427547805,0.8003267520982504,0.016581351032982167,0.44523789522490614,-897.3865376997102,0.7439145784761987,1560.6471877776892,72.27219243725389,303.5365527435955,-0.7565140626502297,0.0,1143.0,0.0,117470886.06
Wani,Punwat,19.9544512,79.0523493,2021,ok,0.7537945908705153,35.56769164116522,-0.010605265821001254,0.5083351346190823,0.7105365367749888,0.015952580444688547,0.4489131514472989,-902.4940637157605,0.6136339826133843,1376.8121766352617,81.309177140147,303.92963517455405,-0.4725734604313253,0.08070866141732283,508.0,41.0,31016698.05
Wani,Punwat,19.9544512,79.0523493,2022,ok,0.0599004981769201,34.873797548471636,-0.08731256946255084,0.4316278309775325,0.6566684408258077,0.008970716821620341,0.4419312878242307,-872.8318017653731,0.5750525687586785,1783.9443689708387,74.47849181882854,304.21569710242505,-0.18651153256040487,0.15343915343915343,756.0,116.0,52080894.03
Wani,Punwat,19.9544512,79.0523493,2023,ok,-0.266835489612066,34.54706156068264,-0.06498043733753661,0.4539599631025461,0.7097212057645352,-0.030565012761521303,0.40239555824108875,-910.4767164888973,0.599388225087553,1267.7470606612912,102.45003557031062,305.08954801414137,0.6873393791556659,0.10505270810614321,2751.0,289.0,242365512.48
Wani,Punwat,19.9544512,79.0523493,2024,ok,-0.5816855386882254,34.23221151160649,-0.04115530637922996,0.477785094060853,0.7342438929578801,0.002632769795974698,0.4355933407985849,-907.6083804323742,0.6238898356274141,1306.9093251419333,72.7159117856296,304.3561290597038,-0.046079575281485666,0.037319116527037316,2626.0,98.0,233169332.67
Wani,Punwat,19.9544512,79.0523493,2025,ok,-4.018376261047834,30.795520789246893,-0.03793296590606818,0.48100743453401457,0.6868601045296169,0.014170635192286807,0.4471312061948975,-886.8397714669195,0.702822307904902,1591.7264126309808,70.31548494190183,303.7064086321831,-0.6958000028019848,0.0,920.0,0.0,82664273.31
Wani,Rajur,20.1052866,78.9070487,2021,ok,0.7231319071893497,35.867044647790486,-0.03134831611363684,0.5438198555334552,0.7454001941655616,0.016759621883998297,0.44448925946977313,-901.7487394964594,0.6253311512432264,1301.8101717425898,82.57575183518826,304.0050791693412,-0.43959812303288537,0.0736196319018405,489.0,36.0,33639914.61
Wani,Rajur,20.1052866,78.9070487,2022,ok,0.7208521805224576,35.86476492112358,-0.10929401211035336,0.46587415953673866,0.7191463949138088,0.009693252262031682,0.4374228898478068,-871.3099262974412,0.5732522014120647,1704.1050296823023,72.26152024627045,304.2671230937646,-0.17755419860958752,0.25332068311195444,1054.0,267.0,81518092.91
Wani,Rajur,20.1052866,78.9070487,2023,ok,-0.7535456819013817,34.39036705869975,-0.07787661640199114,0.4972915552451011,0.7785609123413525,-0.036508001084055025,0.3912216365017193,-905.3254786620097,0.6239535154458697,1254.497592231264,99.86649301444476,305.1824347282955,0.7377574359218957,0.1389351081530782,2404.0,334.0,230987047.38
Wani,Rajur,20.1052866,78.9070487,2024,ok,-0.7999810212561603,34.34393171934496,-0.0563717446354528,0.5187964270116391,0.7898803880943369,0.004141971161057843,0.4318716087468325,-906.6596370891872,0.6397186200197402,1236.9803641515844,70.86388823111534,304.3330202005268,-0.11165709184687275,0.04657070279424217,2362.0,110.0,229562516.67
Wani,Rajur,20.1052866,78.9070487,2025,ok,-4.429081762848874,30.71483097775226,-0.02162566372787354,0.5535425079192182,0.7672550044989588,0.01478611851882412,0.4425157561045992,-884.7108883927166,0.7399972265766697,1527.0560396795677,68.79782145394273,303.69092220421567,-0.7537550881579425,0.0,938.0,0.0,95531878.02
Wani,Rasa,19.9774023,78.8488126,2021,ok,-0.16129263246335163,34.411170337516246,-0.025224309381718407,0.5995555613482844,0.7771441022785169,0.014304850365297472,0.44855955106749806,-915.2436936932492,0.6437873255795842,1326.377223716151,82.84588034512184,303.5564436308881,-0.4546372042288079,0.0367170626349892,463.0,17.0,36077500.7
Wani,Rasa,19.9774023,78.8488126,2022,ok,0.3458132550358951,34.918276225015475,-0.13427045228042608,0.4905094184495764,0.7677224297072169,0.006136043530233387,0.44039074423243435,-888.3579828559044,0.5578083835796895,1671.259891499573,68.73400018962738,303.819507194636,-0.1915736404804299,0.260343087790111,991.0,258.0,78852992.87
Wani,Rasa,19.9774023,78.8488126,2023,ok,-0.9365733400594315,33.635889629920165,-0.09528814788045391,0.5294917228495485,0.8070917982866697,-0.02860636672641717,0.40564833397578404,-925.7342443463457,0.6144590302525543,1191.6346784361092,102.94292215795964,304.70788538313354,0.6968045480170162,0.09850746268656717,3015.0,297.0,283350565.32
Wani,Rasa,19.9774023,78.8488126,2024,ok,-0.7360109651009732,33.83645200487863,-0.058123734980048046,0.5666561357499543,0.8014079256371671,0.0038168583275566457,0.4380715590297579,-921.7932483776771,0.6325441906213468,1242.3595894017299,70.74480895041245,303.92065723622653,-0.09042359889003043,0.03702445652173913,2944.0,109.0,275929710.73
