taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,district,SAR_VV_mean_dB,SPI30_min,sm_anom,sm_mean,tmax_anom_C,tmax_mean_C
Achalpur,Paratwada,21.1882261,77.5589664,2022,,-0.3598615317429876,34.91879226980098,-0.0923082476139701,0.4768499320517244,,,,,0.4728497982123395,1271.537417839763,74.10772415090787,21.71987016652555,0.1105487626463386,1.0118543607112611,183.5254732857128,0.9799949340826524,-0.0208854807601844,91.64926574733546,113.98682848809862,,,,,,,,,,,,,,,,,,Amravati,-8.091669664581765,-882.9452523932189,0.0074216033481417,0.4271614982497856,-0.131124425543908,303.46951931845655
Achalpur,Paratwada,21.1882261,77.5589664,2023,,0.3172764426612144,35.59593024420519,-0.0891531906942223,0.4800049889714723,,,,,0.4903015533055217,1002.8012592675984,98.28055320349984,35.89307554802898,0.2639092508951032,0.1295512277730736,96.15332856089906,0.2751250811645333,-0.0271700653871483,11.11076493801139,80.40958697901965,,,,,,,,,,,,,,,,,,Amravati,-8.257000021918024,-910.9143982606488,-0.0337481420862548,0.3859917528153889,0.9777431181760396,304.5783868621768
Achalpur,Paratwada,21.1882261,77.5589664,2024,,-0.0302473427989949,35.24840645874498,-0.1080362386447977,0.4611219410208967,,,,,0.4699376232507064,878.7492805076355,73.10189105278013,22.75463354972246,0.0290420075316264,0.0,166.1335403109628,-1.5837767440306885,0.0355028506915044,50.61873665120147,108.01717000658576,,,,,,,,,,,,,,,,,,Amravati,-7.947618559302971,-923.794586620558,0.013594228625614,0.4333341235272575,-0.0749750322337285,303.5256687117672
Achalpur,Paratwada,21.1882261,77.5589664,2025,,-4.246731544824902,31.031922256719064,-0.0147737701362101,0.5543844095294846,,,,,0.4357894314187263,996.8858162427326,88.98287703452816,26.603678615109608,-0.1338166814324596,0.3423652272085803,162.111338100155,-4.477708051710282,0.0009503245836861,82.10782040507816,109.03984382350178,,,,,9184492.35,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.793939216900674,-911.4839337815336,0.0109897611358883,0.430729656037532,-0.782527064543485,302.81811667945726
Achalpur,Parsapur,21.2597431,77.4156848,2018,,1.5009034546803128,35.833232186501256,-0.1385062391635854,0.4666601345282113,,,,,0.4990613398599111,859.1717643268937,97.85189885316792,26.350629817634893,-0.0478533466472333,1.1899323181049068,221.16249956746688,1.9729645763791088,0.0005824567587892,12.178148368041883,83.03412295544275,,,,,,,,,,,,,,,,,,Amravati,-8.139258645014317,-925.3697587018006,-0.0232715729184607,0.3572466523424931,-0.0098714409152145,303.05684650046317
Achalpur,Parsapur,21.2597431,77.4156848,2019,,2.093514602348004,36.42584333416892,-0.1244869378120365,0.4806794358797601,,,,,0.5214880994861173,979.6131030267655,87.6164692611393,32.289622109419064,0.4829713129515232,0.2797988343673622,104.12560838396924,-1.8713384556008144,-0.1545193128407595,47.674497418933434,112.03431096070688,,,,,,,,,,,,,,,,,,Amravati,-7.923099742329277,-913.4728651741568,0.0047467437243956,0.385264968985349,0.0379753453949413,303.1046932867735
Achalpur,Parsapur,21.2597431,77.4156848,2020,,0.1142426281736743,34.446571359994614,0.0380594942658394,0.643225867957636,,,,,0.5845965559045384,1141.2710639358736,61.72226922353825,16.8702763677383,-0.2704176249712569,1.1025098702763676,230.0444058102479,0.3561383402444957,0.085178924609889,84.40879899890646,118.97913141567965,,,,,,,,,,,,,,,,,,Amravati,-7.3859835926148385,-897.5068064898345,0.0243754703123056,0.4048936955732591,-0.0096979585205491,303.05701998285844
Achalpur,Parsapur,21.2597431,77.4156848,2021,,0.1586455929811095,34.49097432480203,-0.0418745707213135,0.5632918029704834,,,,,0.5339108982262101,1025.524137920445,82.80287648054147,34.93828727204362,-0.2774878755692899,0.1393119007332205,207.23291291501835,-2.861966300327879,0.0899783511938334,83.00864540568016,98.20436172212824,,,,,,,,,,,,,,,,,,Amravati,-7.668055053081426,-908.9020836065012,0.0030457366416567,0.3835639619026096,-0.3056771218700269,302.76104081950837
Achalpur,Parsapur,21.2597431,77.4156848,2022,,0.230021180667117,34.562349912488045,-0.0849904947671868,0.5201758789246099,,,,,0.5071234262573903,1375.6083927368566,71.91065049821395,22.191859372062417,0.0923032732269623,1.0626527542771196,197.9628078032872,0.4591295823326073,-0.0106328327693175,97.40652917861982,110.70948486557626,,,,,,,,,,,,,,,,,,Amravati,-8.105334338376283,-874.3221566951233,0.0092507737292927,0.3897689989902456,-0.1508606663499895,302.91585727502877
Achalpur,Parsapur,21.2597431,77.4156848,2023,,0.4785123697854918,34.81084110160643,-0.0700060668254266,0.5351603068663702,,,,,0.5216819148151421,1036.9002181143887,99.96258695243468,36.04037413047565,0.1961655017664088,0.642554991539763,96.82141512530396,0.3685498210992935,-0.1046180109043053,11.19353199040986,82.91497461928931,,,,,,,,,,,,,,,,,,Amravati,-8.150728371404307,-907.7512135127696,-0.0316145992281603,0.3489036260327925,0.8496198268145215,303.91633776819276
Achalpur,Parsapur,21.2597431,77.4156848,2024,,-0.7897676735506708,33.54256105827026,-0.0778098801988678,0.527356493492929,,,,,0.4891506136154384,950.9466927305074,72.78012784357962,23.166666666666664,-0.0098749482454441,0.0,174.55364429170828,-2.284724447246886,0.066117195431472,58.543218218835406,111.76132731716494,,,,,,,,,,,,,,,,,,Amravati,-7.44938826875634,-916.2916955068094,0.0129833077572342,0.3935015330181876,-0.1146183223527975,302.9520996190256
Achalpur,Parsapur,21.2597431,77.4156848,2025,,-4.2683580960796155,30.063970635741313,-0.0184848472979465,0.5866815263938502,,,,,0.4520575090344808,1027.6410218177064,88.73984771573602,27.642225982327513,-0.1299433026020505,0.6592404587328444,170.84401393689785,-3.062749548807667,-0.1169229765933445,61.52114397922396,106.5112803158488,,,,,18536202.49,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.418281373711759,-908.7241901145452,0.0117600441613268,0.39227826942228,-0.8256705081180331,302.24104743326023
Achalpur,Pathrot,21.2117946,77.3601858,2018,,1.2656817565943963,35.99138837870811,-0.1506826211228158,0.4721463872167879,,,,,0.4985531104558535,842.1278939794458,96.98579759217456,25.434113995485333,-0.051560674106918,1.0071012039127163,224.0842950675746,1.4592196038637992,-0.0200944671745673,12.027148315552664,81.60012227238529,,,,,,,,,,,,,,,,,,Amravati,-7.915335965894327,-929.3389126856296,-0.0212204871526477,0.3960559692269644,-0.0259436420257207,303.3643876418873
