taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Babulgaon,Babhulgaon,20.55657,78.165693,2023,ok,-0.8511921383008584,34.0163533469286,-0.1145244872127844,0.5071794814281385,0.7900842090972411,-0.0308997754474499,0.3849000596608012,-939.782657990109,0.5977397584027809,990.1900890523284,99.13733175914992,304.80236745495483,0.8290848961319036,27.422243211334123,0.34868929230211404,1.0,0.0,-0.7529924038585846,2.6258868806592135,10.393343256260176,78.6970956316411,3234.0,6709.84,299899708.07,316.0,123.0,193.0,0.0,0.0,0.0,0.10536855872038463,0.041013711147491486,0.06435484757289314,0.0,0.0,0.0
Babulgaon,Babhulgaon,20.55657,78.165693,2024,ok,0.1469673469888748,35.01451283221833,-0.1346804883565964,0.4870234802843264,0.7514572325781811,0.0082898633237404,0.424089698431992,-934.6940276396568,0.5620351453596686,1045.2031767620297,76.84047225501769,303.93496325425616,-0.0383193045671044,17.132987012987012,0.010690649931296653,0.0005194805194805195,38.08808131496908,-0.5642747966173437,3.1909051200018883,50.34746236508402,109.21563164108622,2965.0,6242.44,277675541.83,133.0,0.0,121.0,0.0,12.0,0.0,0.04789762869407705,0.0,0.043576038135212956,0.0,0.004321590558864095,0.0
Babulgaon,Babhulgaon,20.55657,78.165693,2025,ok,-4.055570733699949,30.811974751529497,-0.0754191779309856,0.5462847907099375,0.7833673580695806,0.0112538553746438,0.4270536904828959,-927.970174351878,0.6934835271207658,1117.829409191685,87.0984651711924,303.1541642044421,-0.8191183543811837,22.07834710743801,-0.25498324729727073,1.0,47.244632785349474,-2.1211726478570143,1.7279209510430065,97.2481825475197,108.40217237308146,702.0,1340.15,76206673.59,36.0,36.0,0.0,0.0,0.0,0.0,0.04723995721645564,0.04723995721645564,0.0,0.0,0.0,0.0
Babulgaon,Gharfal,20.6557893,78.2077493,2021,ok,1.2626056033444042,37.170009800770735,-0.0296626869964421,0.5898855147072323,0.7951343861346419,0.0058649028868049,0.4305595809597116,-925.2599352765038,0.6258709434005,1108.432663647638,77.980460638097,303.8053208859819,-0.3720541948206622,26.01373418916367,-0.3652467790291225,0.0,220.84472697967618,-1.7550783843599036,0.9778899926850562,47.684809061149515,100.00693788937132,774.0,1452.86,56456061.9,32.0,20.0,10.0,0.0,2.0,0.0,0.05668124719127814,0.035425779494548844,0.017712889747274422,0.0,0.003542577949454884,0.0
Babulgaon,Gharfal,20.6557893,78.2077493,2022,ok,-0.1319507167199603,35.77545348070637,-0.1499156808796811,0.469632520823993,0.7367594988083721,0.0081277455137962,0.4328224235867043,-882.6914320796674,0.5774709325951449,1574.7467778620678,73.8304700774023,304.0348568160499,-0.1425182647521182,18.53794600717387,0.12398474765786408,4.16329998112139,64.09731953349882,0.7499984033231262,3.0050732674201854,83.44773377725396,109.44619595997727,,,,,,,,,,,,,,,
Babulgaon,Gharfal,20.6557893,78.2077493,2023,ok,-1.1059462180669368,34.80145797935939,-0.1264774752432416,0.4930707264604322,0.7952103707024705,-0.0299862063804798,0.394708471692428,-932.3745870986,0.6147688952837502,1030.473304936925,96.6462620351142,305.0308837439195,0.853508663117442,27.1278553898433,0.353409044026069,1.0,0.0,-0.4352271488762355,2.8735930531631237,12.143500658888309,78.43949405323765,3914.0,7770.19,349444885.55,321.0,114.0,207.0,0.0,0.0,0.0,0.09185997943417318,0.03262317026634187,0.0592368091678313,0.0,0.0,0.0
Babulgaon,Gharfal,20.6557893,78.2077493,2024,ok,-0.1308393007043083,35.77656489672204,-0.1174815124891521,0.5020666892145219,0.7814869888388118,0.0086079454260562,0.4333026234989629,-929.3366034169755,0.5999332632460295,1063.7948282646605,73.04865961865208,304.1590564406752,-0.0183186401270339,14.046771757598636,0.022692442695172094,0.9495469133471776,27.226232834737715,-1.2750708969097122,2.9548951131456636,53.1738645156178,108.9791863318859,3753.0,7580.75,339056042.06,157.0,0.0,138.0,0.0,19.0,0.0,0.046305029412281346,0.0,0.04070123604391609,0.0,0.005603793368365258,0.0
Babulgaon,Gharfal,20.6557893,78.2077493,2025,ok,-4.2072373991814604,31.700166798244872,-0.0654905971773231,0.5540576045263513,0.7891427652846933,0.008675737592763,0.43337041566567,-923.439785886588,0.7186772628580337,1128.3571348566827,81.09132527845948,303.3686851304824,-0.8086899503200038,19.925193505757974,-0.25832652000002926,1.0101472531621674,45.346060769641944,-2.8813351345284888,1.536043795275962,102.12819580993408,105.91750047196525,1313.0,2242.9,127176390.05,22.0,22.0,0.0,0.0,0.0,0.0,0.017298808364784216,0.017298808364784216,0.0,0.0,0.0,0.0
Babulgaon,Pahur,20.2346974,78.4025573,2021,ok,-0.0114876595561746,32.9536746211703,-0.0487762970368091,0.6139368580870574,0.7983053947897688,0.010124485346832,0.4418631037624576,-924.477679371682,0.6651174507988252,1298.0109666370342,81.306782147759,303.41631597004863,-0.4214422344644723,24.24643854418097,-0.3230203187964493,0.058261157650622356,159.1688891088377,-0.27473080482358075,0.1487234697016302,61.93413596501029,110.0008519096975,491.0,896.48,34461718.0,13.0,0.0,11.0,0.0,2.0,0.0,0.037723017755528034,0.0,0.031919476562369875,0.0,0.0058035411931581585,0.0
Babulgaon,Pahur,20.2346974,78.4025573,2022,ok,-0.3986777480710544,32.56648453265542,-0.1358876343767993,0.5268255207470682,0.7860076757447411,0.0077971776322415,0.4395357960478666,-889.0593684457369,0.6145854463025642,1736.5342682434548,67.29319892091436,303.63390216203436,-0.2038560424788451,18.254105731459127,0.11676585529371235,4.868805906573902,81.26885128632829,-0.21037951537960112,2.388543170148829,96.73354831488426,112.37289980595388,,,,,,,,,,,,,,,
