taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Arni,Arni,20.0538582,77.9942367,2020,ok,0.8926081398745551,36.1194715523794,0.0145726193155347,0.6241476282977602,0.8187309904531789,0.023488894202464,0.4435698629216807,-923.9078437307704,0.6502638194324126,1161.031291107876,65.45067285822594,18.734789613343445,-0.2705823085550622,0.0,155.40964097154787,0.2936235976963948,0.6902612939141974,98.50290695471595,114.94394427596669,303.7785157455157,-0.0499838298130763,,,,,,,,,,,,,,,
Arni,Arni,20.0538582,77.9942367,2021,ok,0.1246750715108584,35.35153848401571,-0.053289448715114,0.5562855602671116,0.7858775685215452,0.0034211787690657,0.4235021474882817,-921.2729345247824,0.6202998593189114,1190.7784126854654,83.88243934799091,25.81453752843064,-0.3081433236773536,0.0,159.69353487131903,-0.522752444760011,0.5723236917537254,59.27037658440156,97.19730856709631,303.3294780783462,-0.4990214969826718,1603.0,2674.89,98438136.11,70.0,10.0,45.0,0.0,15.0,0.0,0.07111065158911409,0.010158664512730583,0.04571399030728763,0.0,0.015237996769095876,0.0
Arni,Arni,20.0538582,77.9942367,2022,ok,0.196072695296916,35.42293610780175,-0.0957836883779878,0.5137913206042375,0.7777589830147117,0.0140216391493257,0.4341026078685424,-890.0819791270882,0.589957415251553,1544.9490715870584,71.0495166793025,19.357183472327524,0.0773677601670825,4.734789613343443,71.94375689581909,0.95437361349119,2.3945111695449297,106.73616272488988,109.3520185746778,303.57613647942117,-0.2523630959074392,,,,,,,,,,,,,,,
Arni,Arni,20.0538582,77.9942367,2023,ok,-1.1668248042846263,34.060038608220225,-0.0883728395610093,0.521202169421216,0.7998299540425942,-0.0325691944511197,0.3875117742680972,-933.9829720255289,0.6256520400179608,1046.6339231548186,101.5615523123579,30.22791887793785,0.3169055176634727,1.5493271417740715,6.565205100723249,-1.667002887014245,2.549913533745531,1.6740967466286227,80.4932714177407,304.62194648689325,0.7934469115650518,3644.0,6134.54,275074035.2,178.0,0.0,176.0,0.0,2.0,0.0,0.06470985161161441,0.0,0.06398277462721426,0.0,0.000727076984400162,0.0
Arni,Arni,20.0538582,77.9942367,2024,ok,-1.5739349407338663,33.65292847177096,-0.0673241131286571,0.5422508958535682,0.7760760772747731,0.0122120486881724,0.4322930174073892,-923.2953125601152,0.6504579778884736,1167.9076115987168,74.64798142532221,16.22791887793783,-0.0103382124059145,0.3214082638362396,73.55167236918523,-1.8704528806963252,1.9656385473669256,43.28965250139463,108.8026914329038,303.7139908881078,-0.1145086872204681,3231.0,5581.25,250781916.17,115.0,0.0,105.0,0.0,10.0,0.0,0.04585657600687756,0.0,0.04186904765845342,0.0,0.003987528348424136,0.0
Arni,Arni,20.0538582,77.9942367,2025,ok,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,19.401156178923426,-0.2562659215522377,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354816,303.03694292237583,-0.7915566529526434,1534.0,2289.39,132117696.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Borgaon,20.5209133,78.0791852,2018,ok,1.2881498667636684,36.4238084835669,-0.1316645601422721,0.4794949502821433,0.7915579225165011,-0.0191362727774587,0.3682671921231314,-936.2216229935738,0.5393968630663072,1028.487456342998,93.30192244107504,19.43649331632894,-0.0876965633122105,1.918331680128478,155.47056150607577,2.958547566740759,2.0581067198809753,9.830868298767204,82.53384346511736,303.62022434642955,-0.029228610593709,2074.0,3528.06,134806651.2,28.0,28.0,0.0,0.0,0.0,0.0,0.020770488511326513,0.020770488511326513,0.0,0.0,0.0,0.0
Arni,Borgaon,20.5209133,78.0791852,2019,ok,2.900171222852616,38.03582983965585,-0.1280664841754338,0.4830930262489811,0.7946069300617544,0.0001574833338482,0.387560948234438,-932.9182056261398,0.506377136607212,1064.0418394755534,80.84828302867128,17.746540078409154,0.5903712448971931,0.0071323980917292,56.25364435140974,-1.3343252781886232,2.226806314869699,37.30976975025517,105.9183316801285,304.0819847680754,0.4325318110522816,,,,,,,,,,,,,,,
Arni,Borgaon,20.5209133,78.0791852,2020,ok,-0.3443397646745954,34.791318852128626,0.0368316873042674,0.6479911977286827,0.8522610964824233,0.0239632099927807,0.411366674893371,-920.3492083138112,0.6800821589612406,1199.5670917564344,66.00415662935147,16.655377639223463,-0.3129539841922266,0.2076425298757734,181.95362178237897,-0.330308950822574,0.9604080813328764,86.07150894451782,116.25596334608665,303.57299886997924,-0.0764540870441865,,,,,,,,,,,,,,,
Arni,Borgaon,20.5209133,78.0791852,2021,ok,0.0727488217635015,35.208407438566745,-0.0285002748684401,0.5826592355559754,0.819983395718451,0.0024026838257303,0.389806148726321,-929.321549839652,0.6318788540004225,1102.7485265593127,76.66057342591283,24.96452694723915,-0.3227091020153907,0.0,192.1871911237137,-0.0729865809788227,1.0634202789028089,52.1487742095804,97.16333663974304,303.23285635294354,-0.416596604080134,1496.0,2542.89,92823800.7,59.0,6.0,41.0,0.0,12.0,0.0,0.06356128444975427,0.006463859435568231,0.04416970614304958,0.0,0.012927718871136463,0.0
Arni,Borgaon,20.5209133,78.0791852,2022,ok,0.8119791037834232,35.94763772058666,-0.1526231714534616,0.4585363389709536,0.7629463861894688,0.0131986510280889,0.400602115928679,-888.3460902964496,0.535779389758126,1543.8270766646583,69.87988285862738,18.629068064805622,0.098765818068886,3.7562703698455424,66.54616057500577,0.9457209800577154,3.192917616219342,102.03885887573576,113.04383354588823,303.4388060649629,-0.2106468920607844,,,,,,,,,,,,,,,
Arni,Borgaon,20.5209133,78.0791852,2023,ok,-0.3683534724018508,34.76730514440138,-0.1257319825151107,0.4854275279093047,0.7972314019530283,-0.0326157456138894,0.3547877192867004,-941.396545616634,0.5789938326595159,972.6116519042888,100.28812998913608,28.60785980822823,0.3225179079634917,1.0807236313825517,0.0,-0.281363475093197,2.945990624520302,8.456132124899513,79.09262670634357,304.4382403558581,0.788787398834726,4431.0,8166.3,365438724.92,383.0,0.0,382.0,0.0,1.0,0.0,0.1048055320584441,0.0,0.10453188837160744,0.0,0.0002736436868366687,0.0
Arni,Borgaon,20.5209133,78.0791852,2024,ok,-0.7117541388843514,34.42390447791889,-0.0896859563356646,0.5214735540887505,0.7568969441131663,0.0073410907143969,0.3947445556149874,-933.3603406657452,0.6079037311631121,1059.1120963585215,78.42525152331018,18.720513910538003,-0.0028195508163016,0.0,47.36202859016467,-1.039280342506168,2.056406380993988,51.699727279651114,106.68622171838834,303.5895274688887,-0.059925488134321,4234.0,7807.06,350187549.72,170.0,0.0,150.0,0.0,20.0,0.0,0.04854541520277553,0.0,0.042834189884801935,0.0,0.005711225317973591,0.0
Arni,Borgaon,20.5209133,78.0791852,2025,ok,-4.150043506135954,30.98561511066729,-0.038562494151805,0.5725970162726095,0.774251755245663,0.0151268969567875,0.4025303618573783,-929.7828008526486,0.7157061306572842,1097.9287495876963,87.78163525577442,23.035142411789707,-0.2401235968858616,1.556279816730433,45.38670707142589,-2.7471252718907024,0.8008950394974547,86.42503610384767,110.29186150866752,302.8126120989016,-0.8368408581219593,1932.0,2988.35,173136433.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Jawala,20.1470926,77.9561519,2018,ok,2.6178640971139644,36.89565778949627,-0.1259369456150042,0.4751293928872052,0.7376296602746221,-0.0221162003388391,0.3992257428030658,-923.4714403969114,0.5138792007410743,1037.3724415110566,91.95155561869582,22.706350333854235,-0.1138924747662785,2.9996685135199113,155.99779376429507,3.460904298677541,1.7033380681818184,6.5265993991573055,83.59236633991569,303.99739760992287,0.1048194223779391,2200.0,3882.04,144984034.8,38.0,38.0,0.0,0.0,0.0,0.0,0.02620978237529364,0.02620978237529364,0.0,0.0,0.0,0.0
Arni,Jawala,20.1470926,77.9561519,2019,ok,3.8810590819395054,38.158852774321815,-0.1201090179003579,0.480957320601852,0.7639940743371221,-0.0004734659323061,0.4208684772095981,-925.4886435797596,0.4903818613427692,1014.726171572812,85.27854335369607,20.1099114457546,0.5950015084214548,0.5279158971444806,49.29583161210515,0.1055322287812505,2.122395833333334,39.086525626394135,107.0,304.42110615032504,0.5285279627801042,,,,,,,,,,,,,,,
Arni,Jawala,20.1470926,77.9561519,2020,ok,-0.3083862564324533,33.96940743594986,0.0291275453887836,0.6301938838909937,0.8201562784090913,0.0238502867090752,0.4451922298509799,-913.3298214272178,0.6741336196988408,1150.865545414573,64.48089217218354,18.171473220627917,-0.2868198454407867,0.0,156.13706535538853,-1.0159799967558345,0.9047466856060606,97.55642976745312,115.47435715300465,303.8394037777761,-0.053174409768997,,,,,,,,,,,,,,,
Arni,Jawala,20.1470926,77.9561519,2021,ok,-0.5541396872081884,33.72365400517413,-0.0329781702309554,0.568088168271255,0.793887277462122,0.0034630502005386,0.4248049933424432,-911.274617346996,0.6385351648101244,1174.028653725505,81.93753847610927,26.00246247099493,-0.3174432563482032,0.2939811526258464,165.48957853086475,-1.3544177009751843,0.7220643939393945,58.21737255498348,96.85026282142344,303.40938655637643,-0.4831916311685389,2037.0,3392.4,123182088.57,123.0,10.0,98.0,0.0,15.0,0.0,0.09985217934513546,0.008118063361393127,0.07955702094165264,0.0,0.01217709504208969,0.0
Arni,Jawala,20.1470926,77.9561519,2022,ok,-0.8176226464860769,33.46017104589624,-0.1353162085569232,0.4657501299452863,0.7666847277462131,0.0135800613225712,0.4349220044644761,-878.9261802092971,0.5764098554250309,1536.2475467561176,70.14855329829045,18.76222948335463,0.0768348130181296,5.809584694795659,74.37513724203026,0.3604462948575563,3.0737689393939416,112.10123547065002,109.3278401288062,303.63665028891825,-0.2559278986268109,,,,,,,,,,,,,,,
Arni,Jawala,20.1470926,77.9561519,2023,ok,-0.7438108064342861,33.533982885948035,-0.1038248993713172,0.4972414391308926,0.7974404876893946,-0.0315336000311591,0.3898083431107454,-925.7514334074953,0.5970514804123371,1012.011803657125,101.74177203201208,30.143154804186192,0.3304057846038016,1.8098214708528677,7.045653673127648,-1.0070614161493725,2.834647253787881,2.5178320499545164,81.78031917412511,304.6936507161467,0.8010725286016009,4833.0,8446.8,380671681.55,415.0,0.0,406.0,0.0,9.0,0.0,0.10901782825300366,0.0,0.10665358619450478,0.0,0.0023642420584988745,0.0
Arni,Jawala,20.1470926,77.9561519,2024,ok,-0.2274244692995493,34.05036922308276,-0.0569879173111322,0.5440784211910781,0.8011706948390156,0.0116613337178001,0.4330032768597046,-914.6779898559056,0.6163005522404021,1135.8845563835669,77.40763366008427,16.495430222095937,-0.0114787036268995,0.0091395558081166,61.754847836933614,-1.1762763772391769,1.9152225378787897,40.297485471953024,107.95188710517589,303.76531142003887,-0.1272667675058466,4447.0,7682.71,347225235.33,169.0,0.0,114.0,0.0,55.0,0.0,0.048671577640197666,0.0,0.03283171509457121,0.0,0.01583986254562646,0.0
Arni,Jawala,20.1470926,77.9561519,2025,ok,-3.3190442619602543,30.958749430422063,-0.0560231543166036,0.5450431841856068,0.7827976645359864,0.0099861247830718,0.4313280679249767,-905.6437843483284,0.680175221643523,1237.0716381198763,84.77032722451102,18.762182128143195,-0.2538242786734748,0.8346356016479614,57.67055748673404,-1.866021543061339,1.5668087121212135,91.88769841550176,106.91030922953064,303.0964192012114,-0.7961589863335069,2356.0,3691.47,212926085.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Lonbehel,20.0538582,77.9942367,2018,fallback_taluka,1.8184719454339409,37.04533535793878,-0.1474845479078325,0.4620904610743926,0.7135766280529702,-0.0220123335853756,0.398068635133841,-932.2835530270734,0.5162987723457884,1065.960938096668,91.53042077331314,23.079747915087193,-0.1289243525806147,3.0,155.64744136984646,2.8551101247370845,1.4880960841446955,6.960507845589391,84.29596285064441,303.9336182518497,0.1051186765209738,1773.0,2991.52,111467856.0,31.0,30.0,1.0,0.0,0.0,0.0,0.027810708048426086,0.026913588433960727,0.0008971196144653577,0.0,0.0,0.0
Arni,Lonbehel,20.0538582,77.9942367,2019,fallback_taluka,4.031932630960824,39.25879604346565,-0.1153147114698737,0.4942602975123519,0.7669274796863532,2.608624989990617e-05,0.4201070549691165,-935.6210674320766,0.4884979197680661,1028.120384386635,85.40821645185746,20.6361353297953,0.5933367043190313,1.450672858225929,50.02802750298443,-0.135072373619801,2.047260322649422,45.66345546937423,106.54932714177411,304.38865117824884,0.560151602920002,,,,,,,,,,,,,,,
Arni,Lonbehel,20.0538582,77.9942367,2020,fallback_taluka,0.8926081398745551,36.1194715523794,0.0145726193155347,0.6241476282977602,0.8187309904531789,0.023488894202464,0.4435698629216807,-923.9078437307704,0.6502638194324126,1161.031291107876,65.45067285822594,18.734789613343445,-0.2705823085550622,0.0,155.40964097154787,0.2936235976963948,0.6902612939141974,98.50290695471595,114.94394427596669,303.7785157455157,-0.0499838298130763,,,,,,,,,,,,,,,
Arni,Lonbehel,20.0538582,77.9942367,2021,fallback_taluka,0.1246750715108584,35.35153848401571,-0.053289448715114,0.5562855602671116,0.7858775685215452,0.0034211787690657,0.4235021474882817,-921.2729345247824,0.6202998593189114,1190.7784126854654,83.88243934799091,25.81453752843064,-0.3081433236773536,0.0,159.69353487131903,-0.522752444760011,0.5723236917537254,59.27037658440156,97.19730856709631,303.3294780783462,-0.4990214969826718,1865.0,3132.75,112659953.68,90.0,16.0,58.0,0.0,16.0,0.0,0.07988641665488033,0.014202029627534283,0.05148235739981177,0.0,0.014202029627534283,0.0
Arni,Lonbehel,20.0538582,77.9942367,2022,fallback_taluka,0.196072695296916,35.42293610780175,-0.0957836883779878,0.5137913206042375,0.7777589830147117,0.0140216391493257,0.4341026078685424,-890.0819791270882,0.589957415251553,1544.9490715870584,71.0495166793025,19.357183472327524,0.0773677601670825,4.734789613343443,71.94375689581909,0.95437361349119,2.3945111695449297,106.73616272488988,109.3520185746778,303.57613647942117,-0.2523630959074392,,,,,,,,,,,,,,,
Arni,Lonbehel,20.0538582,77.9942367,2023,fallback_taluka,-1.1668248042846263,34.060038608220225,-0.0883728395610093,0.521202169421216,0.7998299540425942,-0.0325691944511197,0.3875117742680972,-933.9829720255289,0.6256520400179608,1046.6339231548186,101.5615523123579,30.22791887793785,0.3169055176634727,1.5493271417740715,6.565205100723249,-1.667002887014245,2.549913533745531,1.6740967466286227,80.4932714177407,304.62194648689325,0.7934469115650518,4421.0,7655.25,340241556.57,366.0,0.0,364.0,0.0,2.0,0.0,0.10757063413701512,0.0,0.10698281646413525,0.0,0.000587817672879864,0.0
Arni,Lonbehel,20.0538582,77.9942367,2024,fallback_taluka,-1.5739349407338663,33.65292847177096,-0.0673241131286571,0.5422508958535682,0.7760760772747731,0.0122120486881724,0.4322930174073892,-923.2953125601152,0.6504579778884736,1167.9076115987168,74.64798142532221,16.22791887793783,-0.0103382124059145,0.3214082638362396,73.55167236918523,-1.8704528806963252,1.9656385473669256,43.28965250139463,108.8026914329038,303.7139908881078,-0.1145086872204681,4096.0,7110.66,317423845.03,266.0,0.0,236.0,0.0,30.0,0.0,0.08379962758464479,0.0,0.07434854176682772,0.0,0.009451085817817083,0.0
Arni,Lonbehel,20.0538582,77.9942367,2025,fallback_taluka,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,19.401156178923426,-0.2562659215522377,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354816,303.03694292237583,-0.7915566529526434,2179.0,3304.56,188516436.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Sawali,20.3368205,77.8598285,2018,ok,1.9959106425676476,37.11073543818085,-0.1124821076721796,0.4879812244592358,0.7728543487769987,-0.0194631750146091,0.4069121819405908,-916.846652671267,0.5179821371178954,1008.8439012864604,90.92418653045785,21.87783768444949,-0.0710185702185154,2.0595913734392735,150.6427454495358,3.7931168144371985,1.708406729166421,6.968507415883886,82.31701664774876,303.7346390999638,0.064508162162563,1967.0,3654.74,139453689.0,39.0,39.0,0.0,0.0,0.0,0.0,0.02796627344867155,0.02796627344867155,0.0,0.0,0.0,0.0
Arni,Sawali,20.3368205,77.8598285,2019,ok,3.4580182152089876,38.572843010822176,-0.1010798949602184,0.4993834371711963,0.7970720098833156,0.0014994349750523,0.4278747919302518,-918.3783947413295,0.495086325069986,992.8416749631376,86.88162126371547,19.42395005675369,0.5733399324840345,0.0040673477109345,57.54906286022469,-0.3161191705546065,2.060553040065258,42.838975586563706,107.80462542565266,304.11902178263676,0.4488908448355879,,,,,,,,,,,,,,,
Arni,Sawali,20.3368205,77.8598285,2020,ok,-0.7071461794517154,34.40767861616147,0.0448673573756408,0.6453306895070561,0.8425995637627537,0.0221412164370205,0.4485165733922206,-904.529449683365,0.678268008969641,1138.187415940275,69.1653424139236,18.65711312902005,-0.299475162018689,0.0,153.54806310082373,-0.994284985915935,0.9682338893683428,91.33455984795556,114.52274877033672,303.6241714586187,-0.0459594791825538,,,,,,,,,,,,,,,
Arni,Sawali,20.3368205,77.8598285,2021,ok,0.2914316039863121,35.406256399599485,-0.0378719994732576,0.5625913326581574,0.8164437667726717,0.0029221441031048,0.4292975010583045,-908.2302307336166,0.6039205317565458,1099.418988616041,83.32519863791147,25.667659856223985,-0.3110741885556333,0.0,170.10806005505324,-0.2913631325926918,1.0110655301642095,65.99906546525823,94.61048051456676,303.24584567088925,-0.4242852669120285,1503.0,2719.24,93785070.42,67.0,14.0,38.0,0.0,15.0,0.0,0.07143994209307755,0.014927749094075906,0.04051817611249174,0.0,0.0159940168865099,0.0
Arni,Sawali,20.3368205,77.8598285,2022,ok,0.0559223768369736,35.170747172450184,-0.1315224009665262,0.4689409311648888,0.7775749878822991,0.0145960935639048,0.4409714505191052,-874.0679905933475,0.5431366856555068,1458.0080170095391,70.612041241014,19.76707340143776,0.0709024158624087,4.665200529701096,60.7315570480256,0.1010466448067288,3.1131379526404763,111.95197959451164,114.55462542565266,303.4247699326595,-0.2453610051420705,,,,,,,,,,,,,,,
Arni,Sawali,20.3368205,77.8598285,2023,ok,-0.3511884931623052,34.76363630245087,-0.1149863568147456,0.4854769753166699,0.7785609526286547,-0.0311129009641523,0.3952624559910476,-923.7553872841588,0.5648659383949208,936.386652854314,97.551835035944,28.698496027241777,0.3321063950996676,1.8575482406356416,6.957953596877366,-0.862347146970294,2.8374454703441425,5.231804277819753,79.70213772228529,304.49254074184915,0.8224098040476898,4607.0,8475.52,371978582.73,304.0,0.0,302.0,0.0,2.0,0.0,0.08172513529378594,0.0,0.08118746993001104,0.0,0.0005376653637749075,0.0
Arni,Sawali,20.3368205,77.8598285,2024,ok,0.42957913634738,35.54440393196057,-0.0770282621245975,0.5234350700068173,0.7678652428860225,0.0091978089255799,0.4355731658807804,-912.9501903721654,0.5750009195443292,1049.7131320239578,79.41056564510028,17.361804767309874,-0.0190538307664004,0.0,39.34733635585754,-0.2591993981999555,2.3632000189154354,43.47427495922913,108.4334562996595,303.5692392327033,-0.1008917050979206,4180.0,8016.88,356239861.35,154.0,0.0,145.0,0.0,9.0,0.0,0.0432293004540268,0.0,0.0407029127651551,0.0,0.002526387688871696,0.0
Arni,Sawali,20.3368205,77.8598285,2025,ok,-4.246456931488703,30.868367864124487,-0.0502790773930325,0.5501842547383831,0.7714175074183984,0.0111646435733036,0.4375400005285033,-911.5355933678364,0.6878692212532402,1064.827353266247,80.4502459326523,18.402998486568293,-0.2427522169661269,1.2396424517593645,49.072145680664725,-2.7762102286956045,1.198635724165652,67.54773127383372,106.88999243284144,302.86732003927955,-0.8028108985216785,2284.0,3666.36,209703806.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babulgaon,Babhulgaon,20.55657,78.165693,2018,ok,1.3828897731760934,36.25043525840554,-0.1573188250807029,0.4643851435602195,0.7210610362779933,-0.0169731154849096,0.3988267196233416,-937.577167469372,0.5214104308021178,1014.0786232105196,93.00831168831166,19.0671546635183,-0.0947958416016415,1.4556316410861867,143.45111624302234,3.358065368671916,2.1306385540746327,8.103802340179856,83.94144037780403,303.90510662800654,-0.0681759308166307,,,,,,,,,,,,,,,
Babulgaon,Babhulgaon,20.55657,78.165693,2019,ok,3.165161516308994,38.032707001538434,-0.1508079044300418,0.470896064210881,0.7958425938824413,0.0003672230947103,0.4161670582029623,-932.4002250827295,0.4867228176457837,1069.982133554258,77.42073199527745,16.38011806375443,0.6070247982156454,0.0437780401416765,54.15952070471505,-1.3140041944921963,2.5706376096426498,38.853723062416165,107.1381818181818,304.3399830631091,0.3667005042860916,,,,,,,,,,,,,,,
