taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,district,SAR_VV_mean_dB,SPI30_min,sm_anom,sm_mean,tmax_anom_C,tmax_mean_C,ET_mean_mm8d,ET_anom_mm8d,SMAP_sm_mean,SMAP_sm_anom,SAR_VH_mean_dB,SAR_CR_mean_dB,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_SMAP_sm_anom,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,drought_rule_count,trigger_drought,flood_rule_count,trigger_flood,trigger_heat,trigger_any,payout_drought_pct,payout_flood_pct,payout_total_pct,payout_rs_per_ha
Anjangaon Surji,KapusTalani,21.1213725,77.3003036,2025,,-3.927359472966722,31.85283883990182,-0.0632568958307197,0.4983635752519553,,,,,0.4189557202858283,939.8192787446552,87.63342115167481,27.59851336093338,-0.1563408009923214,0.0,172.1053353393865,-2.3669351879064977,-0.0798384856040647,56.90989127260532,107.52314640572074,,,,,163603920.53,15.0,15.0,0.0,,,,0.0091684844418196,0.0091684844418196,0.0,,,,Amravati,-7.516783565571456,-902.770037133373,0.0105655102587503,0.4310188302556199,-0.79710252496996,302.83296518953136,22.838766889514876,1.765556263416306,0.3253181194525533,0.0113890235013292,-16.505227582767347,-8.988444017195894,True,False,True,False,False,False,False,2,True,0,False,False,True,0.1,0.0,0.1,4000.0
Anjangaon Surji,Kokarda,21.0245648,77.3509292,2025,,-6.297364781975779,30.144418913817823,-0.020869536666405,0.5018145650524553,,,,,0.3889393204999676,885.5095779321651,86.30958323522488,28.377960913586055,-0.1688102988276751,0.0,158.3938705603084,-5.046975097966356,-0.0561110666352719,65.14703772130896,112.91255003531906,,,,,127494674.52,11.0,11.0,0.0,,,,0.0086278113508768,0.0086278113508768,0.0,,,,Amravati,-7.710546573483629,-900.4989097192681,0.0151407621683013,0.4337593837685311,-0.8153185251392155,302.89885241725085,23.498524779101057,2.1177363092213692,0.3144679895970353,0.0099262268424792,-16.848012439383805,-9.137465865900174,True,False,True,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Anjangaon Surji,Sategaon,21.1112059,77.2518024,2025,,-4.023931079236245,31.90411846885703,-0.0597441383726704,0.4987953511592046,,,,,0.4101301298355261,912.4839207286695,87.2118560338744,27.19378969654198,-0.16343488084541,0.0,168.26666121831948,-2.1275215631477025,-0.0832065678663843,54.664299141934634,106.62667607621736,,,,,113244618.6,1.0,1.0,0.0,,,,0.000883044167893,0.000883044167893,0.0,,,,Amravati,-7.777682452448589,-902.4840270885496,0.0107249378604868,0.429532012735893,-0.8043807477370275,302.8927849585711,23.008675814009628,1.7881476881925862,0.3285900275613583,0.0139972820124382,-16.7918968963759,-9.014214443927305,True,False,True,False,False,False,False,2,True,0,False,False,True,0.1,0.0,0.1,4000.0
Anjangaon Surji,Vihigaon,21.1175112,77.2989859,2025,,-3.952293043299606,31.854968578974702,-0.0635067555764755,0.4975696639732225,,,,,0.4182622884036033,934.8568827285474,87.97872440574253,27.751847493527897,-0.1572926841922851,0.0,171.51565411279702,-2.402346203809518,-0.0778218192515886,56.781819776331986,107.92271122617085,,,,,129857842.79,3.0,3.0,0.0,,,,0.0023102185709733,0.0023102185709733,0.0,,,,Amravati,-7.592763368856962,-902.7516233884876,0.0107540420911023,0.4316543847533992,-0.7971432611294522,302.85421042898673,22.881737424779743,1.7754557920856724,0.3250620589617645,0.0115235033470705,-16.585224690185974,-8.992461321329026,True,False,True,False,False,False,False,2,True,0,False,False,True,0.1,0.0,0.1,4000.0
Bhatkuli,Aasara,20.9868051,77.5905705,2025,,-4.280814790770438,31.30068378282213,-0.0309261666300377,0.5220481057632936,,,,,0.4034978389749177,912.8799046454966,88.45761514552133,27.603889987755476,-0.1666473772752613,0.8345577846849392,151.40337165105785,-4.122401652187598,-0.0610276137326928,82.37251338363069,116.87425826504663,,,,,92550439.56,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-8.015587052853494,-894.9003962155383,0.0195368536887819,0.436901426282766,-0.8303403004893237,302.8727805325507,23.582077935803373,1.8018220752684917,0.3008448465405248,0.0033382440793421,-17.333798560885736,-9.318211508032237,True,False,True,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Bhatkuli,Ashti,21.0677816,77.6397719,2025,,-4.335734863651944,31.727321416433835,-0.0530424889809106,0.5026537637444514,,,,,0.4019638132296884,917.5267442837584,88.83501952849278,26.82861982965508,-0.1450299806589834,1.5651498752999862,154.49884117608306,-4.495271936767611,-0.0479407792574467,78.85349921970136,112.23137734694832,,,,,121655863.94,2.0,2.0,0.0,,,,0.0016439815847975,0.0016439815847975,0.0,,,,Amravati,-7.751791509275308,-908.8206917736816,0.0135066136452891,0.4354897424636813,-0.7749245399681143,302.78752052819794,23.185013596159212,1.9976717697916249,0.3017444939569812,0.0018691380993516,-17.11695949232521,-9.365167983049894,True,False,True,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Bhatkuli,Bhatkuli1,20.9868051,77.5905705,2025,,-4.280814790770438,31.30068378282213,-0.0309261666300377,0.5220481057632936,,,,,0.4034978389749177,912.8799046454966,88.45761514552133,27.603889987755476,-0.1666473772752613,0.8345577846849392,151.40337165105785,-4.122401652187598,-0.0610276137326928,82.37251338363069,116.87425826504663,,,,,84911300.83,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-8.015587052853494,-894.9003962155383,0.0195368536887819,0.436901426282766,-0.8303403004893237,302.8727805325507,23.582077935803373,1.8018220752684917,0.3008448465405248,0.0033382440793421,-17.333798560885736,-9.318211508032237,True,False,True,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
Bhatkuli,Kholapur,20.9463906,77.523326,2025,,-4.724314645418947,30.895234115480815,-0.0346502580084677,0.5045504131798889,,,,,0.3987743553591601,921.6271761254064,86.97173943761484,26.498657623286707,-0.1719501079565514,1.169139465875371,149.90780675789043,-5.283297342726956,-0.044353902312656,86.71403585095307,114.76190476190484,,,,,107108110.68,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.926933520795619,-895.3236067733062,0.02017035838468,0.4326574526444598,-0.8391304013653361,302.95947111141146,23.174276900428612,1.6642792262061452,0.3043399834749663,0.0057416139031471,-17.078235933766145,-9.151302412970544,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Bhatkuli,Nimbha,20.9201038,77.6310957,2025,,-4.719624219895366,30.87195612424951,-0.0540811033619736,0.476697707721387,,,,,0.3761449850790503,933.4724220671808,87.01460817115118,26.76306488855378,-0.1879433672725109,1.2017812544177937,143.5433195533348,-4.255135492776306,-0.0379878822864143,86.83850205821713,116.06700909476456,,,,,91128113.87,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-8.025710550803026,-899.5684447237921,0.0170041483883877,0.4396764771185813,-0.8339677075986047,303.01579018770025,23.636601299059908,1.7834093481565128,0.2998325232244177,0.0022917992727374,-17.050051232331153,-9.024340681528129,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Bhatkuli,PurnaNagar,21.1007764,77.5759649,2025,,-4.249591211195734,31.484467706558497,-0.0349196280602636,0.5206181167608288,,,,,0.4361263419050962,938.563513809473,88.45903954802259,26.81511299435027,-0.1381781567220893,0.2412429378531073,157.08469826047732,-6.385666286431695,0.014398813559322,78.79574783112248,113.19044256120527,,,,,153715037.04,1.0,1.0,0.0,,,,0.0006505544410334,0.0006505544410334,0.0,,,,Amravati,-7.911252860438701,-910.3558337594856,0.0123612746860367,0.4359018379589071,-0.7790089454819815,302.65378775794153,22.999360194271,1.879843988502329,0.3060373064109498,0.0032505254862784,-16.874515145548614,-8.963262285109904,True,False,True,False,False,False,True,2,True,1,False,False,True,0.1,0.0,0.1,4000.0
