taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,rule_lst_anom_augsep,rule_gdd_surplus,trigger_drought,trigger_flood,trigger_heat,trigger_any
Digras,Singad,20.049508,77.6394969,2025,ok,-4.333865187982996,29.287178407603474,-0.0222575518890086,0.5892419095786894,0.7859725668328852,0.0167365418217986,0.3699317769684319,-876.7196904721785,0.7418438976670667,1204.3727790143237,80.22161137440759,302.48688445002966,-0.8167716604922622,19.53696682464455,-0.2187298420135911,1.3476303317535543,60.0962243976624,-3.0850816982576097,0.5742594193800561,73.07997778415631,108.79805687203796,1161.0,1763.54,102381707.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Digras,Tivri,20.0968334,77.7628184,2025,fallback_taluka,-3.1683548395025425,28.91947671925083,-0.0296521590005068,0.4560071139053662,0.6663112764773439,0.012265880526398,0.4029955660724095,-890.834782291278,0.6624137522344176,1242.2773157537356,84.82789176894283,302.7880982469404,-0.7791794161539282,21.306970572904337,-0.2261999026576867,1.6701890726436996,57.94958054709961,-1.506879694118744,1.522431002024651,83.92682639312862,107.60095720987545,3136.0,4900.05,285977890.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Digras,Tuptakli,20.0968334,77.7628184,2025,fallback_taluka,-3.1683548395025425,28.91947671925083,-0.0296521590005068,0.4560071139053662,0.6663112764773439,0.012265880526398,0.4029955660724095,-890.834782291278,0.6624137522344176,1242.2773157537356,84.82789176894283,302.7880982469404,-0.7791794161539282,21.306970572904337,-0.2261999026576867,1.6701890726436996,57.94958054709961,-1.506879694118744,1.522431002024651,83.92682639312862,107.60095720987545,2161.0,3140.6,182808985.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Ghatanji,Ghatanji,20.0193812,78.2746661,2025,ok,-4.112974362714827,30.146660669416423,-0.0544165042183263,0.5695187833320171,0.791919226486615,0.0125116774682824,0.4323272793617946,-906.7320848606032,0.7310500656262866,1357.412847740743,75.61906793723035,303.2014466410385,-0.7835968413116742,18.32152846916038,-0.2709905864334819,3.305883468449249,63.8289250567932,-3.0924507993288013,0.3415659796256812,102.16800944566272,110.3510643341393,1040.0,1724.62,100250329.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Ghatanji,Ghoti,20.0153713,78.2043743,2025,ok,-3.9810184069536088,30.484901387628735,-0.0248622629159706,0.5817711032922251,0.7849884813590651,0.0091468652555301,0.4139653994913434,-905.048197339338,0.7045901197769838,1359.3825249123863,77.56062185989194,303.1661848801397,-0.7901623343997544,18.558820741302497,-0.2731668471893687,2.740164944544507,59.84528770208632,-3.3425260465045223,0.2845245287936406,102.63702875375216,105.0585837520144,1754.0,3033.05,174414697.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True
Ghatanji,Kurli,19.8914494,79.0198731,2025,ok,-4.611460219896701,30.032209161049412,-0.0113817427996712,0.597155654352603,0.7786588869919863,0.0130172224287482,0.4473186055246451,-902.941279646514,0.7619372470199139,1566.13792378699,72.11749632230817,303.6781280528974,-0.7195429562588975,15.594552270678117,-0.2695694055595355,3.331941346747023,57.4827212068171,-3.0968181101373897,0.5415658936785698,134.42302372300256,108.1867318369478,1720.0,2896.99,168525545.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Ghatanji,Prawa,20.0193812,78.2746661,2025,fallback_taluka,-4.112974362714827,30.146660669416423,-0.0544165042183263,0.5695187833320171,0.791919226486615,0.0125116774682824,0.4323272793617946,-906.7320848606032,0.7310500656262866,1357.412847740743,75.61906793723035,303.2014466410385,-0.7835968413116742,18.32152846916038,-0.2709905864334819,3.305883468449249,63.8289250567932,-3.0924507993288013,0.3415659796256812,102.16800944566272,110.3510643341393,2188.0,3953.13,227941128.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Ghatanji,SakhraKhurd,20.0193812,78.2746661,2025,fallback_taluka,-4.112974362714827,30.146660669416423,-0.0544165042183263,0.5695187833320171,0.791919226486615,0.0125116774682824,0.4323272793617946,-906.7320848606032,0.7310500656262866,1357.412847740743,75.61906793723035,303.2014466410385,-0.7835968413116742,18.32152846916038,-0.2709905864334819,3.305883468449249,63.8289250567932,-3.0924507993288013,0.3415659796256812,102.16800944566272,110.3510643341393,1605.0,2835.03,164286103.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Ghatanji,Shiroli,20.0728013,78.2501864,2025,ok,-3.796734961534773,30.836618580655088,-0.0526150492156157,0.5505694505297866,0.7966083673783549,0.0112106489578309,0.4230340897744729,-907.99804819158,0.6888920393888404,1331.1587443737294,77.34582405608984,303.19806911375576,-0.781895135972998,17.4418494481027,-0.2708686210365013,3.0509261452461036,62.412247898684384,-3.2553776563364627,1.0241571636647833,97.07216682548928,107.9658439528163,2359.0,3948.41,228579414.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Ghatanji,Shivni,20.159763,78.4447646,2025,ok,-4.145064223843997,29.465171400876393,-0.0139533196637236,0.5886057913382409,0.8213407082159684,0.0115352786453153,0.4403224447788347,-907.1190343683836,0.7159857716511389,1444.897674951728,76.69701994598947,303.1453799411047,-0.7702237419471187,17.43677452977685,-0.2664221686972179,4.483346757000048,63.19490033465478,-1.954697353343697,0.6673846663668425,112.59266363497066,109.97214194343108,1418.0,2480.05,143692949.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False,False,False,True,False,True
Kalamb,Jodmoha,20.3168697,78.2963941,2025,fallback_taluka_state,-3.744622288818261,29.247240663500225,0.0224402990106765,0.6652456980178247,0.8074029440976163,0.0158136779620744,0.3951610496966717,-913.4967417022516,0.7715562499197289,1264.5788835884066,86.71984859238228,302.85467784681606,-0.7937550310185795,21.67972557369292,-0.2416009785622667,3.3737875561864192,52.055015939090715,-2.763641562285594,0.0823046727203934,100.22315190171604,111.7851904423941,869.0,1771.47,102014834.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,True,False,False,True,True,False,True
Kalamb,Kalamb,20.3714183,78.3432616,2025,ok,-3.249323853211373,29.242096074416636,0.0293170090051401,0.7083883371812355,0.815940789069333,0.0125046877784283,0.4203393191555565,-912.3646536250026,0.7988657712631955,1290.4588032194436,87.90307786865871,302.8879425549486,-0.7922923137532304,22.449907805777503,-0.241228782850628,2.793863174318,54.59441700059002,-1.8155124785739312,0.0016665484717395,110.57712925046594,109.27005815327875,919.0,1672.53,95324284.01,16.0,16.0,0.0,0.0,0.0,0.0,0.0167848100472713,0.0167848100472713,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Kalamb,Kotha,20.5239247,78.2740259,2025,ok,-3.1765985469602587,32.07683515981737,-0.0681589490391958,0.5511417235434434,0.776553874312165,0.0120408197569172,0.4379823254660101,-925.8016339310728,0.6883022149113973,1147.4358009001178,85.27713745866792,303.20658448267204,-0.81561280923424,21.04898441190364,-0.257412163383504,1.1246102975909305,47.844425485439395,-1.2470325349899365,1.6129230333231004,102.61560824865056,108.19541804440247,896.0,1460.14,83567358.83,35.0,35.0,0.0,0.0,0.0,0.0,0.041882381458531,0.041882381458531,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
